,algo_volatility,algorithm_period_return,alpha,benchmark_period_return,benchmark_volatility,beta,capital_used,ending_cash,ending_exposure,ending_value,excess_return,gross_leverage,long_exposure,long_mavg,long_value,longs_count,max_drawdown,max_leverage,net_leverage,orders,period_close,period_label,period_open,pnl,portfolio_value,positions,price,returns,sharpe,short_exposure,short_mavg,short_value,shorts_count,sortino,starting_cash,starting_exposure,starting_value,trading_days,transactions,treasury_period_return
2015-01-16 21:00:00+00:00,0.2162238922034892,0.010761749999999903,0.4772643504869625,-0.01902340837153027,0.17959109758476263,0.495622942681016,0.0,1430.6175000000007,8677.0,8677.0,0.0,0.8584614524639461,8677.0,85.67585714285713,8677.0,1,-0.03684043629193374,0.8634596557852966,0.8584614524639461,[],2015-01-16 21:00:00+00:00,2015-01,2015-01-16 14:31:00+00:00,-61.0,10107.6175,"[{'sid': Equity(3105 [WMT]), 'amount': 100, 'cost_basis': 85.693825, 'last_sale_price': 86.77}]",86.77,-0.005998848909401833,1.2331060846772142,0.0,86.23962962962963,0.0,0,1.882378588920478,1430.6175000000007,8738.0,8738.0,11,[],0.0
2015-01-20 21:00:00+00:00,0.20633554048493075,0.009961749999999991,0.3954636321334758,-0.016955295172838114,0.17211412127914083,0.48558823209952995,0.0,1430.6175000000007,8669.0,8669.0,0.0,0.8583493384774226,8669.0,85.62670454545453,8669.0,1,-0.03684043629193374,0.8634596557852966,0.8583493384774226,[],2015-01-20 21:00:00+00:00,2015-01,2015-01-20 14:31:00+00:00,-8.0,10099.6175,"[{'sid': Equity(3105 [WMT]), 'amount': 100, 'cost_basis': 85.693825, 'last_sale_price': 86.69}]",86.69,-0.0007914822657266729,1.1039637310456247,0.0,86.18586206896553,0.0,0,1.6790773612584493,1430.6175000000007,8677.0,8677.0,12,[],0.0
2015-01-21 21:00:00+00:00,0.1976472390116283,0.009461750000000047,0.30323943270980336,-0.01196856634805421,0.16721053872409955,0.4653632043611083,0.0,1430.6175000000007,8664.0,8664.0,0.0,0.8582791769970481,8664.0,85.58030434782607,8664.0,1,-0.03684043629193374,0.8634596557852966,0.8582791769970481,[],2015-01-21 21:00:00+00:00,2015-01,2015-01-21 14:31:00+00:00,-5.0,10094.6175,"[{'sid': Equity(3105 [WMT]), 'amount': 100, 'cost_basis': 85.693825, 'last_sale_price': 86.64}]",86.64,-0.0004950682538223949,1.0152844690270062,0.0,86.13387096774196,0.0,0,1.5393617433882745,1430.6175000000007,8669.0,8669.0,13,[],0.0
2015-01-22 21:00:00+00:00,0.20116414241704034,0.026061749999999995,0.44810587315637085,0.002724110779114275,0.17398594014590496,0.5432674926244387,0.0,1430.6175000000007,8830.0,8830.0,0.0,0.8605719879919508,8830.0,85.494875,8830.0,1,-0.03684043629193374,0.8634596557852966,0.8605719879919508,[],2015-01-22 21:00:00+00:00,2015-01,2015-01-22 14:31:00+00:00,166.0,10260.6175,"[{'sid': Equity(3105 [WMT]), 'amount': 100, 'cost_basis': 85.693825, 'last_sale_price': 88.3}]",88.3,0.01644440713082984,2.397713895770956,0.0,86.1578787878788,0.0,0,3.8397457332593588,1430.6175000000007,8664.0,8664.0,14,[],0.0
2015-01-23 21:00:00+00:00,0.1938473803690056,0.028161749999999985,0.5022937678080078,-0.0027736495471115674,0.16929567433455045,0.5323560155751976,0.0,1430.6175000000007,8851.0,8851.0,0.0,0.8608567669435281,8851.0,85.4167,8851.0,1,-0.03684043629193374,0.8634596557852966,0.8608567669435281,[],2015-01-23 21:00:00+00:00,2015-01,2015-01-23 14:31:00+00:00,21.0,10281.6175,"[{'sid': Equity(3105 [WMT]), 'amount': 100, 'cost_basis': 85.693825, 'last_sale_price': 88.51}]",88.51,0.002046660447093007,2.4997105982001315,0.0,86.19028571428574,0.0,0,3.9928759308066204,1430.6175000000007,8830.0,8830.0,15,[],0.0
2015-01-26 21:00:00+00:00,0.187298376390402,0.029361750000000075,0.4696620221013525,-0.0004380270012359633,0.16384966787564978,0.5293469843696609,0.0,1430.6175000000007,8863.0,8863.0,0.0,0.8610189760791092,8863.0,85.35507692307692,8863.0,1,-0.03684043629193374,0.8634596557852966,0.8610189760791092,[],2015-01-26 21:00:00+00:00,2015-01,2015-01-26 14:31:00+00:00,12.0,10293.6175,"[{'sid': Equity(3105 [WMT]), 'amount': 100, 'cost_basis': 85.693825, 'last_sale_price': 88.63}]",88.63,0.001167131533535537,2.523564458793583,0.0,86.24891891891895,0.0,0,4.022526599381757,1430.6175000000007,8851.0,8851.0,16,[],0.0
2015-01-27 21:00:00+00:00,0.18768936943482373,0.018361750000000177,0.39460181904710306,-0.013622639738435471,0.16660336560309194,0.568634546754934,0.0,1430.6175000000007,8753.0,8753.0,0.0,0.859517749954768,8753.0,85.2652962962963,8753.0,1,-0.03684043629193374,0.8634596557852966,0.859517749954768,[],2015-01-27 21:00:00+00:00,2015-01,2015-01-27 14:31:00+00:00,-110.0,10183.6175,"[{'sid': Equity(3105 [WMT]), 'amount': 100, 'cost_basis': 85.693825, 'last_sale_price': 87.53}]",87.53,-0.010686233484000995,1.5261830163293044,0.0,86.26874358974362,0.0,0,2.36358349864297,1430.6175000000007,8863.0,8863.0,17,[],0.0
2015-01-28 21:00:00+00:00,0.18459581639695125,0.01126175000000007,0.3798485057656553,-0.026272233781268306,0.16781945086020206,0.5761074040805098,0.0,1430.6175000000007,8682.0,8682.0,0.0,0.8585314336273472,8682.0,85.15221428571428,8682.0,1,-0.03684043629193374,0.8634596557852966,0.8585314336273472,[],2015-01-28 21:00:00+00:00,2015-01,2015-01-28 14:31:00+00:00,-71.0,10112.6175,"[{'sid': Equity(3105 [WMT]), 'amount': 100, 'cost_basis': 85.693825, 'last_sale_price': 86.82000000000001}]",86.82000000000001,-0.006971982205733918,0.9367860251292469,0.0,86.30134146341467,0.0,0,1.4335038776114175,1430.6175000000007,8753.0,8753.0,18,[],0.0
2015-01-29 21:00:00+00:00,0.18187163444394824,0.02026175000000019,0.4095243786334035,-0.017270778905871254,0.16765626181225943,0.5865122668133941,0.0,1430.6175000000007,8772.0,8772.0,0.0,0.8597793654422504,8772.0,85.06055172413792,8772.0,1,-0.03684043629193374,0.8634596557852966,0.8597793654422504,[],2015-01-29 21:00:00+00:00,2015-01,2015-01-29 14:31:00+00:00,90.0,10202.6175,"[{'sid': Equity(3105 [WMT]), 'amount': 100, 'cost_basis': 85.693825, 'last_sale_price': 87.72}]",87.72,0.008899772981624254,1.5497989376456585,0.0,86.29262790697678,0.0,0,2.400587227508694,1430.6175000000007,8682.0,8682.0,19,[],0.0
2015-01-30 21:00:00+00:00,0.20296970289699012,-0.007138249999999791,0.18371387144277018,-0.029629397869311624,0.16839714965821573,0.6963426076786915,0.0,1430.6175000000007,8498.0,8498.0,0.0,0.8559096973974473,8498.0,84.92204999999998,8498.0,1,-0.05239740809396762,0.8634596557852966,0.8559096973974473,[],2015-01-30 21:00:00+00:00,2015-01,2015-01-30 14:31:00+00:00,-274.0,9928.6175,"[{'sid': Equity(3105 [WMT]), 'amount': 100, 'cost_basis': 85.693825, 'last_sale_price': 84.98}]",84.98,-0.026855853412126818,-0.3478968014846025,0.0,86.22313333333335,0.0,0,-0.47408558954733543,1430.6175000000007,8772.0,8772.0,20,[],0.0
